Column1,Column2,Column3,Column4,Column5
name,link,category,rating,description
"1, 2-Hexanediol",https://www.paulaschoice.com/ingredient-dictionary/preservatives/1%2C-2-hexanediol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good,"A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing. See preservativesReferences for this information:International Journal of Toxicology, September-October 2012, pages 147S-168SInternational Journal of Cosmetic Science, October 2011, pages 421-425Cutaneous and Ocular Toxicology, Volume 28, 2009, pages 23-24"
10-Hydroxydecanoic Acid,https://www.paulaschoice.com/ingredient-dictionary/emollients/10-hydroxydecanoic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
4-T-butylcyclohexanol,https://www.paulaschoice.com/ingredient-dictionary/emollients/4-T-butylcyclohexanol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Soothing']",Good,"A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.References for this information:Journal of the European Academy of Dermatology and Venereology, February 2016, pages 9-16; and Volume 30 Supplement, pages 21-27Experimental Dermatology, November 2010, pages 980-986."
Acacia farnesiana extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/acacia-farnesiana-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.
acacia senegal gum,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acacia-senegal-gum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Plant Extracts', 'Skin-Soothing']",Good,"Acacia senegal gum is an herb that can have skin soothing properties, but is used primarily as a thickening agent. References for this information: Food Science and Biotechnology, April 2019, pages 413-421  Bioactive Molecules in Food, January 2019, pages 797-814  American Journal of Applied Sciences, September 2013, pages 1,270-1,279  Biomacromolecules, 2006, pages 2,637- 2,649  International Journal of Toxicology, May 2005, pages 75-118  CosmeticsInfo.org, ePublication"
acai,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acai.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, açai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant—just one of many to choose from when it comes to your skincare products. Consumed orally via supplement, juice, or as a whole food, acai has been shown to exert potent antioxidant benefits and reduce the cascade of damage caused by the overproduction of free radicals. References for this information:  Journal of Traditional and Complementary Medicine, April 2018, pages 267-277 Journal of Drugs in Dermatology, June 2010, pages 72-81 Journal of Agricultural and Food Chemistry, November 2006, pages 8604-8610"
acetic acid,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties."
acetone,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor,Strong solvent that is used in nail polish removers.
acetylated castor oil,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-castor-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
acetylated hydrogenated cottonseed glyceride,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-hydrogenated-cottonseed-glyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
acetylated lanolin,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,Emollient derived from lanolin.
acetylated lanolin alcohol,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,"An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed from an alcohol and an acid with the elimination of water, and are common among cosmetic ingredients."
acetylated palm kernel glycerides,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-palm-kernel-glycerides.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
acetyl carnitine HCL,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acetyl-carnitine-hcl.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Best,
acetyl glucosamine,https://www.paulaschoice.com/acetyl-glucosamine/acetyl-glucosamine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Replenishing', 'Antioxidants', 'Skin-Soothing', 'Hydration']",Best,"Acetyl Glucosamine at a Glance

Multi-purpose antioxidant that plays a role in fading skin discolorations
Also known to offer skin-calming properties
A precursor of hyaluronic acid (meaning it helps skin make its own HA naturally)
The derivative form (known as n-acetyl glucosamine) is considered more stable and effective
Can be produced synthetically to be vegan vs. pure acetyl glucosamine is typically derived from shellfish

Acetyl Glucosamine Description
Acetyl glucosamine is a multi-purpose antioxidant that has been shown to be effective in reducing visible discolorations (specifically in 2-5% concentration). It works particularly well for evening skin tone when paired with the B vitamin niacinamide. It can also help reinforce skin’s supportive elements and is known to be soothing.
One of the uniquely beneficial aspects of acetyl glucosamine is that it is a precursor of hyaluronic acid (meaning it helps skin produce its own hyaluronic acid content naturally). Hyaluronic acid is a fundamental component responsible for helping skin maintain hydration and elasticity.
Technically speaking, acetyl glucosamine is an amino-monosaccharide (simple sugar). Although pure acetyl glucosamine is considered more sensitive to stability issues, research shows a synthetic or bio-fermented derivative known as n-acetyl glucosamine has been proven to be more stable and highly effective. This is the type you’ll find in the Paula’s Choice Skincare 10% and 20% niacinamide treatments and RESIST eye cream. This form is also vegan (whereas pure acetyl glucosamine is typically derived from shellfish).
FYI: Following the correct INCI (International Nomenclature Cosmetic Ingredient) naming conventions n-acetyl glucosamine simply goes by acetyl glucosamine on ingredient lists, but you can always consult the brand to find out which form they are using.
At the time of this writing, the current assessment of acetyl glucosamine by the Cosmetic Ingredient Review is underway with the next meeting with their panel of experts set for September 2021. We will be updating the information as it comes, but preliminary data has shown concentrations as high as 8% acetyl glucosamine can be used in leave-on products without issue.
Acetyl Glucosamine References
Cosmetic Ingredient Review, February 2021, pages 1-22
https://www.cir-safety.org/sites/default/files/glucos032021slr.pdf
International Journal of Pharmaceutics, March 2020, pages 1–10
Life Sciences, May 2016, pages 21-29
Drug Design, Development and Therapy, August 2014, pages 1,923–1,928
Journal of Cosmetic Dermatology, June 2013, pages 96-102; and December 2006, pages 309-315
Dermato-endocrinology, July 2012, pages 253–258"
acetyl glyceryl ricinoleate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetyl-glyceryl-ricinoleate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
acetyl hexapeptide-1,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-1.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan. It helps skin better defend itself from environmental aggressors by virtue of a calming effect. This peptide can also help promote a visibly more even skin tone by playing a role in how melanin moves through skin. Reference for this information: International Journal of Molecular Sciences, February 2018, ePublication"
acetyl hexapeptide-37,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-37.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"Acetyl hexapeptide-37 is a synthetic peptide composed of the amino acids alanine, proline, serine and glycine. This peptide works with the water channels (known as aquaporins) in skin’s surface layers, helping to provide adequate, balanced hydration between skin’s layers, a process which alleviates signs of dry, dehydrated skin. Although there isn’t independent research confirming the effectiveness of this peptide on skin, the supplier (Lipotec) has made the results of their research available in a lengthy Technical Report that’s supported by third-party studies. Between this information and the wider field of published scientific research on peptides for skin, we feel confident recommending this peptide, particularly for dehydrated skin."
acetyl hexapeptide-8,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-8.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Good,"Acetyl Hexapeptide-8 at a Glance

Also known as agireline and acetyl hexpeptide-3
Synthetically derived
Has water-binding abilities and skin-restoring properties
Is considered a neurotransmitter-inhibiting peptide

Acetyl Hexapeptide-8 Description
Acetyl hexapeptide-8 is a synthetically derived peptide that is used in a wide range of skin care and makeup products. Also known as agireline and acetyl hexapeptide-3, it, like all peptides, has water-binding properties and skin-restoring abilities. It is considered a neurotransmitter-inhibiting peptide, meaning it could have the ability to target expression wrinkles; however, that benefit has been overstated in certain cosmetics claims (it doesn’t replace in-office wrinkle-smoothing injectable procedures).
Studies on topical use of a moisturizer containing a 10% concentration of acetyl hexapeptide-8 have shown it does not penetrate beyond the uppermost layers of skin, even after several hours. That means it cannot affect factors in the underlying layers that lead to the formation of expression lines.
On the other hand, research has shown this peptide can penetrate further into skin if specific formulary steps are followed, including the type of emulsion (a higher water content showed greater penetration). As always, this demonstrates the importance of selecting well-formulated skin care products to add to your routine.
Acetyl Hexapeptide-8 References
Cosmetics, November 2020, Issue 7, Volume 4, page 91
La Clinica Terapeutica, November 2020, pages e539-e548
https://www.cir-safety.org/sites/default/files/AcetylHexapeptide-8.pdf
Cutaneous and Ocular Toxicology, March 2015, pages 46-52
European Journal of Pharmaceutical Sciences, February 2015, pages 27-35
Dermatologic Therapy, September-October 2007, issue 5, pages 343-349
International Journal of Cosmetic Science, October 2002, issue 5, pages 303-310"
acetyl octapeptide-3,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-octapeptide-3.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Good,"Synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine. Also known as SNAP-8, this peptide is said to improve the look of signs of aging formed from repetitive facial expressions, though there’s no independent research supporting this claim.  Even if there were independent research, the concentrations used in the company-sponsored testing to support the improvement of signs of aging was 3–10%, which is far greater than what’s typically present in skincare products. Like all peptides it has water-binding properties and theoretical skin-restoring ability. It may play a role in helping skin look younger, and can help hydrate and smooth skin."
acetyl tetrapeptide-11,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-11.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-11, which is made up of amino acids leucine, proline and tyrosine.Acetyl tetrapeptide-11 helps skin become healthier by interacting with a signaling protein in skin’s surface that addresses how it looks and feels.References for this information:Cosmetics, May 2017, ePublicationJournal of Biological Chemistry, April 2012, pages 12,204-12,216"
acetyl tetrapeptide-5,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-5.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"A synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin. Its calming properties are believed to reduce undereye puffiness due to fluid accumulation, such as from allergies (which is not the same as undereye bags that occur from fat pads beneath the skin slipping out of place).This peptide is also believed to interrupt a process in skin known as glycation, which can cause skin’s supportive elements to weaken, giving way to wrinkles and loss of firmness. Acetyl tetrapeptide-5 seems to step in and help skin maintain a smooth resilience that results in a more youthful look.References for this information:Cosmetics, May 2017, pages 2-13Clinics in Dermatology, September-October 2009, pages 485-494."
acetyl tetrapeptide-9,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-9.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"A synthetic peptide created by the acetylation (a chemical reaction that joins a stronger substance with a weaker one) of tetrapeptide-9, which is composed of the amino acids aspartic acid, glutamine, histidine and valine.Acetyl tetrapeptide-9 helps visibly restore skin’s natural support, including a specialized protein known as lumican, which helps keep skin smooth and taut.References for this information:Cosmetics, May 2017, ePublicationPLoS One, June 2013, ePublication"
acetyl tributyl citrate,https://www.paulaschoice.com/ingredient-dictionary/film-forming%2Fholding-agents/acetyl-tributyl-citrate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Film-Forming/Holding Agents'],Average,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening products."
acetyl tyrosine,https://www.paulaschoice.com/ingredient-dictionary/hydration/acetyl-tyrosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Hydration'],Good,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it has a restoring or brightening effect on skin.
Achillea millefolium,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/achillea-millefolium.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Poor,
acid,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Average,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH of 7. Skin has an average pH of 5.5
acne soap,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/acne-soap.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Poor,"Soaps that often contain strong cleansing ingredients, they are often overly drying and sensitizing to skin."
acrylate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,
acrylates/C10-30 alkyl acrylate crosspolymer,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fc10-30-alkyl-acrylate-crosspolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,"A synthetic ingredient used to enhance the texture of skincare and haircare products. The Cosmetic Ingredient Review has deemed it safe as it is currently used in cosmetics.Reference for this information:Cosmetic Ingredient Review Final Safety Assessment, November 2011 - http://www.cir-safety.org/sites/default/files/crossl092011final_for%20posting.pdf"
